handle,titulo,tipo,problema,bytes,link,detectado
11086/546983,"Diversidad de mesomamíferos de la Reserva Natural de Vaquerías, Provincia de Córdoba",conferenceObject,[ADJUNTO NO FUNCIONA] SIN ARCHIVO ADJUNTO,0,https://rdu.unc.edu.ar/handle/11086/546983,2026-07-20
11086/547038,Avances en la propuesta de un modelo pedagógico para la enseñanza de Química con apoyo de TIC,conferenceObject,[ADJUNTO NO FUNCIONA] SIN ARCHIVO ADJUNTO,0,https://rdu.unc.edu.ar/handle/11086/547038,2026-07-20
